PolicyNumber,CustomerId,DateOfLoss,ClaimReceivedDate,ClaimCause,TotalPaidToDate,Deductible,County,State,EquipmentYear,PolicyEffectiveDate
P-654-2022,419,2022-12-23,2023-01-03,Lightning-Irr,10466.75,1000,Chase,NE,1993,2022-11-20
P-3199-2022,2667,2022-12-19,2023-02-08,Lightning-Irr,4535.69,1000,Tattnall,GA,0,2022-03-19
P-1031-2022,1278,2022-12-12,2022-12-13,Claim Withdrawn,0,1000,Edwards,KS,0,2022-06-01
P-4890-2022,2794,2022-12-02,2022-12-08,Collision-Irr,20347.48,1000,Pawnee,KS,2022,2022-10-01
P-4102-2022,1233,2022-11-22,2022-11-29,Collision-Irr,15458.86,1000,Floyd,TX,0,2022-04-08
P-3968-2022,3700,2022-11-04,2022-11-14,M&E-Irr,8511.76,1000,Cochran,TX,2016,2022-02-23
P-2404-2022,1994,2022-11-02,2022-11-07,Claim Denied,0,1000,Sherman,KS,2001,2022-06-30
P-5149-2022,606,2022-11-02,2022-12-07,Lightning-Irr,2116.41,1000,Adams,NE,1997,2022-11-04
P-4939-2022,4917,2022-11-02,2023-02-24,M&E-Irr,2376.22,1000,Fillmore,NE,2002,2022-12-28
P-5468-2022,150,2022-11-01,2022-11-22,Collision-Irr,34536.9,1000,Thomas,KS,1978,2021-11-29
P-442-2022,1569,2022-10-31,2022-11-09,Wind-Irr,4445.37,1000,Lamb,TX,1983,2022-02-01
P-5478-2022,4285,2022-10-29,2022-11-07,Lightning-Irr,2455.08,5000,Madison,NE,2001,2022-03-10
P-4060-2022,3,2022-10-29,2022-11-10,M&E-Irr,27040.2,1000,Decatur,KS,1979,2022-07-30
P-1663-2022,1215,2022-10-28,2022-11-08,Collision-Irr,32210.65,1000,Hamilton,NE,1981,2022-03-26
P-162-2022,1814,2022-10-26,2022-11-02,Lightning-Irr,5717.79,1000,Valley,NE,2000,2022-10-25
P-2710-2022,675,2022-10-25,2022-10-26,Claim Withdrawn,0,5000,Fillmore,NE,1976,2022-04-21
P-5573-2022,2349,2022-10-23,2022-10-24,Wind-Irr,49200,1000,Howard,NE,1998,2022-04-16
P-2684-2022,3854,2022-10-23,2022-11-14,Wind-Irr,27463,1000,Stanton,KS,1996,2022-02-01
P-5026-2022,2864,2022-10-22,2022-10-27,Wind-Irr,3503.56,1000,Jewell,KS,2020,2022-05-27
P-1615-2022,4364,2022-10-17,2022-12-15,M&E-Irr,24306.79,1000,Sheridan,KS,1993,2022-03-29
P-4039-2022,1230,2022-10-14,2022-10-26,Wind-Irr,2482.25,1000,Fillmore,NE,2012,2022-04-19
P-3857-2022,4069,2022-10-13,2022-10-17,Collision-Irr,1754.2,1000,Sheridan,KS,2000,2022-09-21
P-4334-2022,3605,2022-10-09,2022-10-10,M&E-Irr,62242,5000,Kearny,KS,1997,2022-05-23
P-1584-2022,4336,2022-10-06,2022-10-11,Wind-Irr,59953.67,1000,Lamb,TX,1987,2022-10-01
P-1359-2022,5148,2022-10-03,2022-10-06,M&E-Irr,28417.7,1000,Floyd,TX,1998,2022-03-25
P-5265-2022,3486,2022-09-28,2022-10-12,M&E-Irr,30294,2500,Stanton,KS,1997,2022-09-20
P-909-2022,4856,2022-09-24,2022-10-24,Lightning-Irr,15555,1000,Otter Tail,MN,1994,2022-05-01
P-1018-2022,4203,2022-09-20,2022-09-22,M&E-Irr,20974.55,1000,Hockley,TX,1991,2022-04-22
P-4619-2022,592,2022-09-20,2022-10-03,Wind-Irr,18124.8,1000,Norton,KS,2012,2021-10-29
P-4507-2022,2095,2022-09-19,2022-09-19,M&E-Irr,16994.96,1000,Haskell,TX,2020,2022-09-10
P-498-2022,3425,2022-09-19,2022-09-21,Collision-Irr,4952,1000,Medina,TX,1999,2022-04-03
P-3773-2022,3590,2022-09-18,2022-09-22,M&E-Irr,7536.63,2500,Prowers,CO,2009,2022-09-01
P-3025-2022,1902,2022-09-17,2022-09-19,Collision-Irr,49350,1000,Comanche,TX,2014,2021-09-21
P-5013-2022,1744,2022-09-16,2022-10-07,Wind-Irr,99850,10000,Seward,KS,1999,2022-03-25
P-1748-2022,5282,2022-09-15,2022-09-16,M&E-Irr,23113.59,1000,Dallam,TX,1998,2021-11-14
P-3992-2022,50,2022-09-15,2022-09-20,Lightning-Irr,19737.5,1000,Antelope,NE,1979,2022-07-20
P-2461-2022,5233,2022-09-13,2022-09-13,M&E-Irr,4613.86,1000,Lincoln,NE,1982,2022-01-07
P-5417-2022,4613,2022-09-12,2022-09-13,Collapse-Irr,16023.56,1000,Tom Green,TX,2015,2022-01-29
P-3350-2022,1985,2022-09-12,2022-09-14,M&E-Irr,11378.83,1000,Sherman,KS,1988,2022-02-27
P-3930-2022,3765,2022-09-12,2022-09-16,Collision-Irr,5406.51,5000,York,NE,1981,2022-05-18
P-4067-2022,3320,2022-09-09,2022-11-10,Lightning-Irr,7414.19,1000,Sedgwick,CO,2014,2022-01-18
P-873-2022,1860,2022-09-08,2022-09-09,Wind-Irr,133514.35,10000,Maricopa,AZ,2012,2022-07-20
P-188-2022,4308,2022-09-08,2022-12-15,M&E-Irr,3526.74,1000,Norton,KS,1999,2022-01-20
P-3931-2022,3892,2022-09-05,2022-09-07,M&E-Irr,2198.65,1000,Yuma,CO,1990,2021-12-01
P-4875-2022,4254,2022-09-05,2022-10-17,Claim Denied,626.5,2500,null,null,null,2022-05-02
P-525-2022,3713,2022-09-04,2022-09-07,Collision-Irr,5325.99,1000,Custer,NE,0,2021-11-08
P-5265-2022,3486,2022-09-04,2022-09-08,Wind-Irr,35301.1,2500,Stanton,KS,1997,2021-09-20
